"属するノードグループを表示","Show Belong Node Group"
"アクティブグループのみを表示","Show Only Active Node Group"
"表示レイヤーの結合(ベイク)","Merge visible layers (Bake)"
"表示レイヤーを単一の画像として結合(ベイク)します","Merge(Bake) visible layers into single image"
"アクティブノードグループを設定","Set Active Node Group"
"ノードグループを作成","Create Node Group"
"新規レイヤー設定","New Layer Settings"
"色を反転","Invert Color"
"画像アイコンを更新","Update Image Icon"
"プロジェクト内にある既存の画像をレイヤーとして読み込みます","Import an existing image in your project as a layer"
"既存の画像を読み込み","Import Existing Image"
"新規レイヤーをマテリアルに追加します","Add a new layer to the material"
"レイヤーを新規作成","Add a New Layer"
"レイヤーを削除","Remove Layer"
"選択レイヤーのノードを削除します。\nCtrl : リストアイテムのみを削除します","Delete selected layer\nCtrl : Remove Only list item"
"レイヤーを移動","Move Layer"
"アクティブなレイヤーをリスト内で上下に移動し、ノードの構成順序を変更します。\n入れ替えるレイヤーが同じノードグループ内でない場合は、リストアイテムのみを移動します","Move the active layer up or down in the list to change the configuration order of the nodes.\nIf the layers to be replaced are not in the same node group, only the list items will be moved"
"アクティブノードグループを切り替え","Set Active Node Group"
"新規レイヤーが追加されるノードグループを切り替えます","Set the node group to which the new layer will be added"
"クリッピングマスクを設定","Set Clipping Mask"
"他のレイヤーの画像の透過部分でアクティブなレイヤーをマスクします","Masks the active layer in the transparency of the image on another layer"
"シェーダーノード設定","Shader Node Settings"
"空のマテリアルを作成","Add New Empty Material"
"レイヤー作成用のマテリアルを追加します","Add material to use layers"
"ソロレイヤー切り替え","Toggle Solo Layer"
"アクティブレイヤーをソロ表示します。\n再度実行すると、保存しておいた不透明度の値に戻します","Solo view the active layer. \nRerun to restore the saved opacity value"
"レイヤー名と同名のグループ入力ソケットがあります","There is a group input socket with the same name as the layer name"
"ノードグループにアクティブレイヤーの出力ソケットを作成する","Create an active layer output socket in a node group"
"レイヤーの出力ソケットを作成する","Create layer output socket"
"ノードグループ外でもアクティブレイヤーを使えるように、出力ソケットを作成します","Create an output socket so that the active layer can be used outside the node group"
"シェーダータイプを切り替え","Toggle Shader Node Type"
"一時的な平面メッシュを使用","Use Temp Plane Mesh"
"平面メッシュを使うことで、マテリアルの全てのエリアをベイクします。\n(シンプルなメッシュでベイクするので、ベイク時間が少し早くなります)\n通常のベイクでは選択オブジェクトのエリア以外がベイクされない問題を回避できます","Bake all areas of the material by using a flat mesh.\n(Because it bake with a simple mesh, the baking time will be a little faster)\nYou can avoid the problem that normal baking only bakes the area of the selected object"
"適用 & レイヤー作成:","Apply and create layer:"
"RGBカーブ","RGB Curves"
"カラーランプ","Color Ramp"
"色相/彩度","Hue/Saturation"
"輝度/コントラスト","Bright Contrast"
"ガンマ","Gamma"
"RGBからBWへ","RGB To BW"
"フォルダーを追加","Add Folder"
"レイヤーを複製","Duplicate Layer"
"ノイズ","Noise"
"ボロノイ","Voronoi"
"波","Wave"
"マジック","Magic"
"マスグレイブ","Musgrave"
"レンガ","Brick"
"グラデーション","Gradient"
"チェッカー","Checker"
"生成","Generated"
"ウィンドウ","Window"
"反射","Refrection"
"テクスチャ座標を変更","Change Texture Coord"
"ノード設定","Node Setting"
"テクスチャペイントモード以外でもパネルメニューを表示する","Display the panel menu even in modes other than texture paint mode"
"外部の画像を読み込み","Load External Image"
"'Tx Layer'は、'Cycles Texture Paint Layers'ver0.0.2 を元に派生したアドオンです。","'Tx Layer' is an add-on derived from 'Cycles Texture Paint Layers' ver0.0.2."
"ver0.0.3からBookyakunoがアップデートしています。","It has been updated by Bookyakuno since ver0.0.3."
"リンクなし","No Link"
"ノードグループを作成し、プリンシプルBSDFのソケットに接続します。\nノードグループ内に背景用塗りつぶしレイヤー・通常のレイヤーを作成します","Create a node group and connect it to the socket of the Principle BSDF.\nCreate a BG fill layer/Simple layer in the node group"
"ノードグループとレイヤーを作成","Create Node Groups and Layers"
"テクスチャ補間。\nバンプマップ用テクスチャの場合は、自動で常に[三次式]になります。","Texture interpolation.\nFor bump map textures, it will always be [Cubic] automatically"
"",""
"",""
"",""
"",""
"",""
